City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Pahrump,US,2021-09-22 00:38:39,36.2083,-115.9839,90.95,7,0,1.99
223,Kanina,CD,2021-09-22 00:38:39,-10.7341,25.4699,62.17,28,0,5.86
224,Pochinki,RU,2021-09-22 00:38:39,54.6988,44.8668,43.65,91,100,13.76
225,Hervey Bay,AU,2021-09-22 00:38:40,-25.2986,152.8535,66.31,47,0,14.27
226,Snyder,US,2021-09-22 00:38:40,32.7179,-100.9176,75.54,25,1,9.22
227,Yerbogachen,RU,2021-09-22 00:38:40,61.2767,108.0108,37.67,78,100,6.11
228,Novosergiyevka,RU,2021-09-22 00:38:41,52.0934,53.6528,50.45,42,100,12.55
229,Ust-Barguzin,RU,2021-09-22 00:38:41,53.45,108.9833,46.35,72,40,1.77
230,Pontes E Lacerda,BR,2021-09-22 00:38:41,-15.2261,-59.3353,82.78,35,16,3.71
231,Jalu,LY,2021-09-22 00:38:42,29.0331,21.5482,83.17,19,0,9.48
232,Biak,ID,2021-09-22 00:38:42,-0.9131,122.8766,73.13,86,100,4.03
233,Bandarbeyla,SO,2021-09-22 00:38:43,9.4942,50.8122,77.79,75,62,21.94
234,Praia Da Vitoria,PT,2021-09-22 00:38:43,38.7333,-27.0667,70.75,83,20,13.0
235,Faanui,PF,2021-09-22 00:38:43,-16.4833,-151.75,78.3,72,10,5.14
236,Vila Velha,BR,2021-09-22 00:34:11,-20.3297,-40.2925,76.95,78,75,25.32
237,Samarai,PG,2021-09-22 00:38:44,-10.6167,150.6667,79.45,80,74,15.66
238,Pitalito,CO,2021-09-22 00:38:44,1.8497,-76.0479,61.38,96,96,3.04
239,Lamu,KE,2021-09-22 00:38:44,-2.2717,40.902,77.22,87,45,11.5
240,Mozarlandia,BR,2021-09-22 00:38:45,-14.7447,-50.5706,88.47,17,2,5.26
241,Veraval,IN,2021-09-22 00:38:45,20.9,70.3667,81.16,82,78,15.95
242,Ostrovnoy,RU,2021-09-22 00:38:45,68.0531,39.5131,34.09,87,4,10.92
243,Masvingo,ZW,2021-09-22 00:38:47,-20.0637,30.8277,58.26,84,100,13.42
244,Chokurdakh,RU,2021-09-22 00:38:47,70.6333,147.9167,35.31,56,92,8.95
245,Abonnema,NG,2021-09-22 00:38:48,4.7084,6.7931,73.67,94,100,3.36
246,Cape Coast,GH,2021-09-22 00:38:48,5.1053,-1.2466,76.03,93,100,8.99
