City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Sabang,ID,5.8933,95.3214,78.94,82,100,4.63,light rain
218,Sawakin,SD,19.1059,37.3321,84.49,64,85,5.66,overcast clouds
219,Cherskiy,RU,68.75,161.3,21.04,90,22,7.27,few clouds
220,Marsa Matruh,EG,31.3525,27.2453,73.06,68,3,12.8,clear sky
221,Acari,PE,-15.4311,-74.6158,67.32,72,22,3.09,few clouds
222,West Columbia,US,33.9935,-81.074,78.42,76,20,0.0,few clouds
223,Shache,CN,38.4167,77.2406,64.54,20,0,7.23,clear sky
224,Sinnamary,GF,5.3833,-52.95,79.77,82,97,10.27,overcast clouds
225,Ostrovnoy,RU,68.0531,39.5131,42.4,86,100,4.79,overcast clouds
226,Ucar,AZ,40.519,47.6542,56.26,80,100,5.35,overcast clouds
227,Flin Flon,CA,54.7682,-101.865,54.21,50,8,6.64,clear sky
228,Rayevskiy,RU,54.0658,54.9468,41.67,81,100,5.7,overcast clouds
229,Grand Gaube,MU,-20.0064,57.6608,72.37,74,95,7.0,light rain
230,Hakkari,TR,37.5833,44.1667,46.18,62,0,2.37,clear sky
231,Borovoy,RU,55.4333,86.0833,38.48,100,90,8.95,light intensity shower rain
232,Port Macquarie,AU,-31.4333,152.9167,73.36,55,63,7.7,broken clouds
233,Richards Bay,ZA,-28.783,32.0377,66.47,86,100,14.9,light rain
234,Nome,US,64.5011,-165.4064,35.67,55,40,16.11,scattered clouds
235,Jumla,NP,29.2747,82.1838,58.03,90,29,2.59,scattered clouds
236,San Patricio,US,28.017,-97.5169,82.26,74,90,12.93,overcast clouds
237,La Spezia,IT,44.1105,9.8434,67.8,72,3,8.68,clear sky
238,Itarema,BR,-2.9248,-39.9167,78.67,84,28,9.78,scattered clouds
239,Port Hardy,CA,50.6996,-127.4199,55.58,82,75,6.91,light intensity shower rain
240,Labuhan,ID,-6.8844,112.2051,84.7,61,91,13.47,overcast clouds
241,Bria,CF,6.5423,21.9863,68.65,97,100,3.22,overcast clouds
242,Ilulissat,GL,69.2167,-51.1,30.22,59,75,3.44,broken clouds
243,Oyama,JP,36.3,139.8,68.83,84,100,12.28,moderate rain
244,Nemuro,JP,43.3236,145.575,66.63,92,100,10.63,overcast clouds
245,Bhuj,IN,23.2667,69.6667,77.68,92,100,14.99,light rain
246,Hauterive,FR,46.0901,3.4459,47.16,86,8,3.94,clear sky
247,Kwinana,AU,-32.25,115.7667,62.74,86,93,20.02,light rain
248,Mumford,GH,5.2618,-0.759,76.53,89,62,8.88,light rain
249,Okhotsk,RU,59.3833,143.3,34.61,94,100,12.48,light rain
250,Magadan,RU,59.5667,150.8,35.56,89,100,29.97,light rain
251,Guerrero Negro,MX,27.9769,-114.0611,70.41,63,0,13.29,clear sky
252,Batagay-Alyta,RU,67.8006,130.4114,25.7,56,18,2.39,few clouds
253,Viedma,AR,-40.8135,-62.9967,58.66,26,53,9.69,broken clouds
254,Tecoanapa,MX,16.5167,-98.75,81.0,77,20,1.5,few clouds
255,Sembe,CG,1.6481,14.5806,70.27,99,100,2.89,overcast clouds
256,Coffs Harbour,AU,-30.3,153.1333,73.36,68,75,8.05,broken clouds
257,Launceston,AU,-41.45,147.1667,68.61,72,40,7.0,scattered clouds
258,Codrington,AU,-38.2667,141.9667,57.9,95,86,19.17,overcast clouds
259,Qaqortoq,GL,60.7167,-46.0333,34.3,51,0,2.68,clear sky
260,Talnakh,RU,69.4865,88.3972,29.5,97,100,3.51,overcast clouds
261,Morgan City,US,29.6994,-91.2068,78.01,100,75,6.91,broken clouds
262,Nizwa,OM,22.9333,57.5333,83.07,58,100,1.3,overcast clouds
263,Bhanpuri,IN,21.1,80.9167,75.63,92,100,2.06,overcast clouds
264,Ketchikan,US,55.3422,-131.6461,53.58,88,100,6.44,light rain
265,Mongu,ZM,-15.2484,23.1274,76.66,29,72,7.11,broken clouds
266,Neryungri,RU,56.6709,124.6491,28.38,87,100,9.64,overcast clouds
267,Moron,AR,-34.6534,-58.6198,62.35,98,22,9.46,few clouds
268,Bambanglipuro,ID,-7.95,110.2833,78.94,77,100,6.87,overcast clouds
269,Moose Factory,CA,51.2585,-80.6094,48.18,87,90,5.75,overcast clouds
